id,name,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,host_is_superhost,host_response_rate,host_acceptance_rate,availability_365,reviews_per_month,calculated_host_listings_count,bathrooms
3176,Fabulous Flat in great Location,Prenzlauer Berg Südwest,52.53471,13.4181,Entire home/apt,2,1.0,2.0,105.0,63,730,150,4.63,4.52,4.92,False,100.0,83.0,140,0.76,1,1.0
9991,Geourgeous flat - outstanding views,Prenzlauer Berg Südwest,52.53269,13.41805,Entire home/apt,7,4.0,4.0,135.0,6,14,7,5.0,5.0,4.86,False,20.0,0.0,241,0.06,1,2.5
14325,Studio Apartment in Prenzlauer Berg,Prenzlauer Berg Nordwest,52.54813,13.40366,Entire home/apt,1,0.0,1.0,75.0,150,1125,26,4.68,4.85,4.6,False,80.0,22.0,168,0.14,4,1.0
17904,Beautiful Kreuzberg studio - 3 months minimum,Reuterstraße,52.49419,13.42166,Entire home/apt,2,0.0,1.0,32.0,93,360,298,4.77,4.71,4.88,False,100.0,95.0,72,1.57,1,1.0
20858,Designer Loft in Berlin Mitte,Prenzlauer Berg Südwest,52.53711,13.40888,Entire home/apt,4,2.0,2.0,202.0,3,21,140,4.48,4.65,4.91,False,100.0,96.0,253,0.89,1,1.0
22677,"""Prenzel Garten"" mit Terrasse",Brunnenstr. Süd,52.53355,13.40476,Entire home/apt,5,2.0,5.0,152.0,4,30,600,4.81,4.77,4.93,True,100.0,98.0,321,3.29,1,1.0
23834,Apartment in the heart of Berlin,Tempelhofer Vorstadt,52.49134,13.37975,Entire home/apt,4,1.0,3.0,65.0,185,360,98,4.37,4.51,4.52,False,,,0,0.53,1,1.0
26543,Helmholtzplatz Bright&Spacious Apt.,Helmholtzplatz,52.54419,13.41956,Entire home/apt,4,2.0,4.0,260.0,180,364,201,4.66,4.55,4.84,False,100.0,,365,1.09,1,2.0
28156,Beautiful apartment in Prenzlauer Berg,Prenzlauer Berg Nordwest,52.54804,13.40349,Entire home/apt,1,0.0,1.0,70.0,150,1125,34,4.66,4.84,4.69,False,80.0,22.0,166,0.19,4,1.0
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,Helmholtzplatz,52.54596,13.42291,Entire home/apt,8,2.0,4.0,172.0,4,365,503,4.8,4.75,4.88,True,100.0,99.0,277,2.75,4,1.0
34854,"Ku'damm-Nähe,sonnig,ruhig,Balkon",Düsseldorfer Straße,52.49546,13.30858,Entire home/apt,4,1.0,1.0,60.0,92,1125,3,5.0,4.67,5.0,True,100.0,100.0,116,0.19,3,1.0
37004,WONDERFUL ROOM for a bubble in Berlin Central,Schöneberg-Nord,52.49376,13.36408,Private room,2,1.0,1.0,60.0,14,60,38,4.74,4.71,4.79,False,75.0,57.0,54,0.21,1,1.0
42487,Weekend in Berlin Party Center - I,südliche Luisenstadt,52.49661,13.44038,Private room,5,1.0,1.0,54.0,1,31,32,4.84,4.66,4.81,True,100.0,97.0,83,0.19,2,1.5
42809,The Berlin Artist Apartment.,Frankfurter Allee Süd FK,52.51099,13.45642,Entire home/apt,4,2.0,2.0,200.0,90,365,201,4.91,4.85,4.93,True,100.0,98.0,85,1.13,1,1.0
55853,Hauptstadt-Domizil,Neue Kantstraße,52.50469,13.29409,Entire home/apt,2,1.0,2.0,54.0,92,730,22,4.82,4.95,4.68,False,100.0,100.0,165,0.14,1,1.0
57049,130 sqm with a view on Mauer Park,Prenzlauer Berg Nordwest,52.54758,13.40632,Entire home/apt,4,2.0,3.0,290.0,3,10,148,4.93,4.89,4.83,True,100.0,75.0,129,0.82,1,2.0
58780,"Charming, light 4 room apartment",Prenzlauer Berg Süd,52.53572,13.42739,Entire home/apt,4,3.0,3.0,240.0,3,150,89,4.83,4.78,4.89,True,92.0,69.0,345,0.52,4,1.5
64014,"Rooftop apt w/ a view, 2 bedrooms/bathrooms, sauna",Brunnenstr. Nord,52.54059,13.40301,Entire home/apt,4,3.0,4.0,282.0,3,28,19,4.8,4.58,4.89,False,100.0,100.0,52,0.11,1,2.0
64590,Direkt am Kanal! Tolle Wohnung mit Balkon,Reuterstraße,52.49337,13.42555,Entire home/apt,4,1.0,2.0,144.0,5,365,100,4.99,5.0,4.96,True,100.0,75.0,69,0.59,1,1.0
68448,Quiet studio in Prenzlauer Berg near Mauerpark,Prenzlauer Berg Nord,52.55004,13.41518,Entire home/apt,4,0.0,2.0,137.0,3,200,441,4.64,4.67,4.85,True,100.0,99.0,343,2.53,10,1.0
69780,Apartment in Prenzlauer Berg,Prenzlauer Berg Nordwest,52.5488,13.40425,Entire home/apt,1,1.0,1.0,106.0,150,1125,2,5.0,5.0,5.0,False,80.0,22.0,255,0.08,4,1.0
80843,Berlin City Studio,Schmargendorf,52.48074,13.28903,Entire home/apt,1,0.0,1.0,99.0,2,330,185,4.95,4.99,4.85,True,100.0,100.0,27,1.05,2,1.0
81081,Beautiful Prenzlauer Berg Apt,Prenzlauer Berg Nord,52.55064,13.41466,Entire home/apt,2,1.0,1.0,68.0,3,35,450,4.93,4.95,4.89,True,100.0,100.0,83,2.56,1,1.0
83614,Spacious Prenzlauer Berg Apartment in Quiet Street,Helmholtzplatz,52.54720260822955,13.416090488433827,Entire home/apt,6,2.0,3.0,293.0,3,1125,397,4.87,4.82,4.89,True,100.0,100.0,319,2.25,2,1.5
85560,Apartment 1 in Berlin,Alexanderplatz,52.53036,13.38137,Entire home/apt,2,2.0,1.0,94.0,3,365,213,4.74,4.79,4.91,False,100.0,100.0,279,1.68,1,1.0
86090,spacious and cozy living in PrenzlBerg,Prenzlauer Berg Nord,52.54715,13.42657,Entire home/apt,4,2.0,4.0,175.0,3,365,327,4.89,4.89,4.83,True,100.0,90.0,325,1.88,3,1.0
89102,Bright loft in the Kastanienallee,Prenzlauer Berg Südwest,52.54048,13.41087,Entire home/apt,4,1.0,1.0,131.0,4,365,72,4.8,4.59,4.96,True,100.0,99.0,0,0.41,4,1.0
115576,Bed and Garden,Blankenfelde/Niederschönhausen,52.58178,13.3962,Entire home/apt,4,1.0,2.0,95.0,2,60,54,4.96,4.87,4.87,True,100.0,92.0,309,0.37,1,1.0
117649,F43 - your base for Berlin,südliche Luisenstadt,52.49989,13.4448,Entire home/apt,4,1.0,1.0,58.0,92,365,82,4.72,4.93,4.79,False,100.0,,207,0.47,1,1.0
127708,Design Jewel in the midst of MITTE!,Alexanderplatz,52.52536,13.40488,Entire home/apt,2,1.0,1.0,113.0,2,365,761,4.83,4.91,4.96,True,98.0,100.0,285,4.5,6,1.0
128827,Gorgeous Home in the Heart of East Berlin,Frankfurter Allee Süd FK,52.50894,13.46075,Entire home/apt,2,1.0,1.0,136.0,6,60,34,4.88,4.76,4.91,False,,0.0,35,0.27,1,1.0
135097,City Center Berlin West mit Anmeldung,Schöneberg-Nord,52.49944,13.34685,Entire home/apt,4,3.0,5.0,165.0,210,380,306,4.45,4.43,4.78,True,,100.0,365,1.77,1,1.0
147339,Lovely apartment - central - quiet,Schöneberg-Süd,52.48033,13.3609,Entire home/apt,2,1.0,1.0,100.0,4,365,336,4.9,4.96,4.84,True,100.0,96.0,313,1.96,1,1.0
151249,"Quiet & sunny, private home with 2 cats & Terrasse",Südliche Friedrichstadt,52.49681,13.41758,Entire home/apt,2,1.0,1.0,75.0,2,40,35,4.43,4.03,4.86,False,67.0,70.0,58,0.3,1,1.0
159454,"Bright, Charming and Modern Altbau",Wiesbadener Straße,52.47844,13.30973,Entire home/apt,5,2.0,3.0,185.0,184,730,77,4.88,4.91,4.83,False,,,365,0.48,1,1.0
168615,STAYINTOWN - Apartment in Berlin,Blankenburg/Heinersdorf/Märchenland,52.58045,13.44398,Entire home/apt,2,1.0,2.0,49.0,3,15,38,4.92,4.97,4.53,True,100.0,68.0,298,0.24,1,1.0
