neighbourhood_cleansed,avg_price,median_price,listing_count,avg_rating,avg_accommodates
Adlershof,100.19,95.0,31,4.77,2.55
Albrechtstr.,115.49,82.0,55,4.64,3.91
Alexanderplatz,164.76,140.0,710,4.72,3.62
Allende-Viertel,38.67,33.0,3,4.85,2.67
Alt  Treptow,114.2,94.0,50,4.81,2.62
Alt-Hohenschönhausen Nord,107.11,67.0,9,4.76,2.78
Alt-Hohenschönhausen Süd,118.75,105.5,12,4.93,3.92
Alt-Lichtenberg,122.44,109.5,32,4.79,3.03
Altglienicke,79.52,62.0,23,4.87,3.17
Altstadt-Kietz,122.0,139.0,5,4.86,2.2
Barstraße,116.09,99.0,33,4.74,2.88
Baumschulenweg,96.0,82.5,20,4.82,2.75
Biesdorf,95.04,79.5,26,4.86,3.27
Blankenburg/Heinersdorf/Märchenland,79.11,68.0,27,4.66,2.78
Blankenfelde/Niederschönhausen,105.05,97.0,41,4.86,3.29
Bohnsdorf,90.17,60.0,23,4.81,2.87
Britz,116.41,97.0,29,4.63,3.48
Brunnenstr. Nord,179.65,148.5,160,4.74,3.45
Brunnenstr. Süd,174.47,145.0,400,4.83,3.35
Brunsbütteler Damm,98.0,93.0,13,4.69,2.85
Buch,76.2,67.0,10,4.72,2.7
Buchholz,100.68,79.0,25,4.24,3.0
Buckow,96.4,99.0,20,4.57,2.4
Buckow Nord,68.67,67.0,3,4.8,2.67
Charlottenburg Nord,167.17,77.0,6,4.94,2.33
Dammvorstadt,125.6,132.0,5,4.88,4.2
Drakestr.,105.59,95.0,49,4.79,3.18
Düsseldorfer Straße,131.78,110.0,170,4.72,2.98
Falkenhagener Feld,71.89,54.0,9,4.84,3.0
Fennpfuhl,59.55,55.0,11,4.8,2.45
Forst Grunewald,126.5,130.0,4,4.8,2.5
Frankfurter Allee Nord,120.65,104.0,155,4.75,3.49
Frankfurter Allee Süd,62.6,52.0,5,4.8,3.0
Frankfurter Allee Süd FK,129.82,108.0,475,4.77,3.47
Friedenau,118.93,110.0,60,4.66,3.18
