,neighbourhood_cleansed,avg_price,median_price,listing_count,avg_rating,avg_accommodates,value_score
0,Adlershof,100.19,95.0,31,4.77,2.55,4.761
1,Albrechtstr.,115.49,82.0,55,4.64,3.91,4.018
2,Alexanderplatz,164.76,140.0,710,4.72,3.62,2.865
4,Alt  Treptow,114.2,94.0,50,4.81,2.62,4.212
7,Alt-Lichtenberg,122.44,109.5,32,4.79,3.03,3.912
8,Altglienicke,79.52,62.0,23,4.87,3.17,6.124
10,Barstraße,116.09,99.0,33,4.74,2.88,4.083
11,Baumschulenweg,96.0,82.5,20,4.82,2.75,5.021
12,Biesdorf,95.04,79.5,26,4.86,3.27,5.114
13,Blankenburg/Heinersdorf/Märchenland,79.11,68.0,27,4.66,2.78,5.891
14,Blankenfelde/Niederschönhausen,105.05,97.0,41,4.86,3.29,4.626
15,Bohnsdorf,90.17,60.0,23,4.81,2.87,5.334
16,Britz,116.41,97.0,29,4.63,3.48,3.977
17,Brunnenstr. Nord,179.65,148.5,160,4.74,3.45,2.638
18,Brunnenstr. Süd,174.47,145.0,400,4.83,3.35,2.768
21,Buchholz,100.68,79.0,25,4.24,3.0,4.211
22,Buckow,96.4,99.0,20,4.57,2.4,4.741
26,Drakestr.,105.59,95.0,49,4.79,3.18,4.536
27,Düsseldorfer Straße,131.78,110.0,170,4.72,2.98,3.582
31,Frankfurter Allee Nord,120.65,104.0,155,4.75,3.49,3.937
33,Frankfurter Allee Süd FK,129.82,108.0,475,4.77,3.47,3.674
34,Friedenau,118.93,110.0,60,4.66,3.18,3.918
35,Friedrichsfelde Nord,124.26,110.0,23,4.64,3.96,3.734
37,Friedrichshagen,134.39,128.0,33,4.77,3.45,3.549
40,Grunewald,119.28,109.5,64,4.79,2.84,4.016
43,Halensee,117.87,84.0,63,4.8,2.79,4.072
45,Heerstrasse,118.08,84.0,40,4.81,3.15,4.074
50,Helmholtzplatz,136.61,119.0,157,4.75,3.63,3.477
51,Johannisthal,103.52,69.0,25,4.74,3.56,4.579
52,Kantstraße,130.75,100.0,85,4.61,2.91,3.526
53,Karl-Marx-Allee-Nord,116.16,102.0,105,4.72,3.53,4.063
54,Karl-Marx-Allee-Süd,113.88,100.0,183,4.71,2.99,4.136
55,Karlshorst,129.6,135.0,50,4.59,2.84,3.542
58,Kurfürstendamm,149.88,138.0,139,4.69,3.09,3.129
64,Lichtenrade,87.38,76.0,21,4.88,3.38,5.585
67,Mahlsdorf,101.71,90.0,21,4.75,3.71,4.67
69,Mariendorf,121.47,97.5,30,4.61,4.9,3.795
74,Mierendorffplatz,117.39,99.0,36,4.7,3.25,4.004
75,Moabit Ost,112.5,87.0,153,4.7,3.3,4.178
76,Moabit West,119.38,92.0,157,4.63,3.66,3.878
78,Neu Lichtenberg,112.48,101.0,62,4.6,3.68,4.09
81,Neue Kantstraße,148.97,112.0,88,4.78,3.12,3.209
82,Neuköllner Mitte/Zentrum,127.36,92.5,168,4.78,3.08,3.753
83,Niederschöneweide,126.27,113.5,22,4.74,3.82,3.754
86,Oberschöneweide,99.56,85.0,57,4.53,2.37,4.55
87,Osloer Straße,102.33,85.0,69,4.58,3.06,4.476
89,Ost 2,58.13,52.0,31,4.68,2.71,8.051
90,Ostpreußendamm,71.96,51.0,26,4.88,2.23,6.782
91,Otto-Suhr-Allee,120.71,104.0,123,4.68,3.05,3.877
92,Pankow Süd,111.8,83.0,61,4.76,2.97,4.258
93,Pankow Zentrum,136.47,115.0,55,4.82,3.27,3.532
94,Parkviertel,91.08,72.0,91,4.61,2.84,5.061
95,Plänterwald,112.86,90.5,28,4.8,3.39,4.253
96,Prenzlauer Berg Nord,127.25,113.5,130,4.78,3.32,3.756
97,Prenzlauer Berg Nordwest,120.62,97.0,193,4.76,3.03,3.946
98,Prenzlauer Berg Ost,136.65,115.5,68,4.79,3.34,3.505
99,Prenzlauer Berg Süd,138.45,125.0,197,4.78,3.33,3.453
100,Prenzlauer Berg Südwest,175.64,144.0,290,4.78,3.47,2.721
101,Rahnsdorf/Hessenwinkel,108.93,96.5,28,4.73,4.25,4.342
102,Regierungsviertel,185.89,159.0,98,4.69,3.56,2.523
103,Reuterstraße,110.39,90.0,181,4.8,3.32,4.348
104,Rixdorf,100.55,88.5,122,4.77,2.77,4.744
105,Rudow,82.52,71.0,46,4.74,2.91,5.744
106,Rummelsburger Bucht,138.43,120.0,30,4.84,3.23,3.496
107,Schillerpromenade,115.41,98.5,140,4.8,3.24,4.159
108,Schloß Charlottenburg,116.49,66.0,67,4.66,3.33,4.0
109,Schloßstr.,101.07,95.0,41,4.81,3.1,4.759
110,Schmargendorf,170.56,172.0,34,4.62,3.53,2.709
111,Schmöckwitz/Karolinenhof/Rauchfangswerder,150.78,107.0,23,4.7,3.61,3.117
112,Schöneberg-Nord,112.58,85.0,212,4.71,2.78,4.184
113,Schöneberg-Süd,119.56,102.0,162,4.8,3.74,4.015
114,Schönholz/Wilhelmsruh/Rosenthal,114.1,102.0,20,4.88,3.8,4.277
117,Südliche Friedrichstadt,144.6,125.0,180,4.71,3.24,3.257
118,Teltower Damm,95.41,85.0,27,4.62,2.89,4.842
119,Tempelhof,129.19,100.0,142,4.68,3.8,3.623
120,Tempelhofer Vorstadt,118.68,97.5,418,4.75,3.17,4.002
121,Tiergarten Süd,152.15,139.0,115,4.67,3.46,3.069
122,Volkspark Wilmersdorf,107.47,89.0,86,4.71,3.02,4.383
123,Wedding Zentrum,117.42,91.0,124,4.7,3.86,4.003
124,Weißensee,122.99,94.5,106,4.67,3.97,3.797
131,Westend,131.27,90.0,64,4.8,2.95,3.657
132,Wiesbadener Straße,144.4,132.0,25,4.6,2.88,3.186
134,Zehlendorf  Nord,119.06,84.0,49,4.76,3.06,3.998
135,Zehlendorf  Südwest,116.76,102.0,29,4.8,3.55,4.111
136,nördliche Luisenstadt,120.86,97.0,147,4.74,3.11,3.922
137,südliche Luisenstadt,126.15,101.0,242,4.8,3.4,3.805
